Data;Venda Real;Venda Projetada;Diferença de Venda;Real Acumulado;Real rojetado;Tendência;Clientes Abordados;Vendas Fechadas;Taxa de Conversão
01 - dom;30;64.52;-34.52;30;64.52;30;1;2;200
02 - seg;20;64.52;-44.52;50;129.03;50;3;2;66.67
03 - ter;400;64.52;335.48;450;193.55;450;4;20;500
04 - qua;7;64.52;-57.52;457;258.06;457;5;3;60
05 - qui;80;64.52;15.48;537;322.58;537;6;3;50
06 - sex;45;64.52;-19.52;582;387.10;582;8;4;50
07 - sáb;290;64.52;225.48;872;451.61;872;3;7;233.33
08 - dom;10;64.52;-54.52;882;516.13;882;5;5;100
09 - seg;15;64.52;-49.52;897;580.65;897;6;2;33.33
10 - ter;70;64.52;5.48;967;645.16;967;6;1;16.67
11 - qua;40;64.52;-24.52;1007;709.68;1007;7;2;28.57
12 - qui;35;64.52;-29.52;1042;774.19;1042;8;14;175
13 - sex;20;64.52;-44.52;1062;838.71;1062;9;5;55.56
14 - sáb;15;64.52;-49.52;1077;903.23;1077;2;3;150
15 - dom;18;64.52;-46.52;1095;967.74;1095;3;3;100
16 - seg;90;64.52;25.48;1185;1032.26;1185;6;2;33.33
17 - ter;50;64.52;-14.52;1235;1096.77;1235;7;3;42.86
18 - qua;40;64.52;-24.52;1275;1161.29;1275;5;5;100
19 - qui;20;64.52;-44.52;1295;1225.81;1295;5;6;120
20 - sex;200;64.52;135.48;1495;1290.32;1495;5;4;80
21 - sáb;700;64.52;635.48;2195;1354.84;2195;4;5;125
22 - dom;50;64.52;-14.52;2245;1419.35;2245;3;3;100
23 - seg;200;64.52;135.48;2445;1483.87;2445;2;4;200
