Data;Venda Real;Venda Projetada;Diferença de Venda;Real Acumulado;Real rojetado;Tendência;Clientes Abordados;Vendas Fechadas;Taxa de Conversão
01 - dom;90;64.52;25.48;90;64.52;90;10;2;20
02 - seg;50;64.52;-14.52;140;129.03;140;3;2;66.67
03 - ter;120;64.52;55.48;260;193.55;260;20;20;100
04 - qua;90;64.52;25.48;350;258.06;350;5;3;60
05 - qui;50;64.52;-14.52;400;322.58;400;6;3;50
06 - sex;70;64.52;5.48;470;387.10;470;7;4;57.14
07 - sáb;60;64.52;-4.52;530;451.61;530;9;7;77.78
08 - dom;120;64.52;55.48;650;516.13;650;7;5;71.43
09 - seg;90;64.52;25.48;740;580.65;740;5;2;40
10 - ter;67;64.52;2.48;807;645.16;807;3;1;33.33
11 - qua;64.52;64.52;0;871.52;709.68;871.52;13;2;15.38
12 - qui;80;64.52;15.48;951.52;774.19;951.52;25;14;56
13 - sex;70;64.52;5.48;1021.52;838.71;1021.52;8;5;62.50
14 - sáb;50;64.52;-14.52;1071.52;903.23;1071.52;6;3;50
15 - dom;90;64.52;25.48;1161.52;967.74;1161.52;4;3;75
16 - seg;80;64.52;15.48;1241.52;1032.26;1241.52;3;2;66.67
17 - ter;30;64.52;-34.52;1271.52;1096.77;1271.52;7;3;42.86
18 - qua;200;64.52;135.48;1471.52;1161.29;1471.52;8;5;62.50
19 - qui;40;64.52;-24.52;1511.52;1225.81;1511.52;9;6;66.67
20 - sex;30;64.52;-34.52;1541.52;1290.32;1541.52;7;4;57.14
21 - sáb;20;64.52;-44.52;1561.52;1354.84;1561.52;6;5;83.33
22 - dom;150;64.52;85.48;1711.52;1419.35;1711.52;8;3;37.50
23 - seg;90;64.52;25.48;1801.52;1483.87;1801.52;7;4;57.14
