Data;Venda Real;Venda Projetada;Diferença de Venda;Real Acumulado;Real rojetado;Tendência;Clientes Abordados;Vendas Fechadas;Taxa de Conversão
01 - dom;124;64.52;59.48;124;64.52;124;8;9;112.50
02 - seg;30;64.52;-34.52;154;129.03;154;8;3;37.50
03 - ter;80;64.52;15.48;234;193.55;234;6;3;50
04 - qua;90;64.52;25.48;324;258.06;324;4;4;100
05 - qui;20;64.52;-44.52;344;322.58;344;3;7;233.33
06 - sex;200;64.52;135.48;544;387.10;544;7;5;71.43
07 - sáb;407;64.52;342.48;951;451.61;951;5;7;140
08 - dom;12;64.52;-52.52;963;516.13;963;3;1;33.33
09 - seg;67;64.52;2.48;1030;580.65;1030;1;1;100
10 - ter;45.52;64.52;-19;1075.52;645.16;1075.52;5;6;120
11 - qua;80;64.52;15.48;1155.52;709.68;1155.52;1;4;400
12 - qui;70;64.52;5.48;1225.52;774.19;1225.52;9;5;55.56
13 - sex;50;64.52;-14.52;1275.52;838.71;1275.52;3;3;100
14 - sáb;90;64.52;25.48;1365.52;903.23;1365.52;5;6;120
15 - dom;80;64.52;15.48;1445.52;967.74;1445.52;1;4;400
16 - seg;30;64.52;-34.52;1475.52;1032.26;1475.52;9;5;55.56
17 - ter;80;64.52;15.48;1555.52;1096.77;1555.52;3;4;133.33
18 - qua;90;64.52;25.48;1645.52;1161.29;1645.52;1;1;100
19 - qui;20;64.52;-44.52;1665.52;1225.81;1665.52;3;2;66.67
20 - sex;312;64.52;247.48;1977.52;1290.32;1977.52;10;6;60
21 - sáb;208;64.52;143.48;2185.52;1354.84;2185.52;7;7;100
22 - dom;249;64.52;184.48;2434.52;1419.35;2434.52;8;6;75
23 - seg;105;64.52;40.48;2539.52;1483.87;2539.52;2;2;100
