Data;Venda Real;Venda Projetada;Diferença de Venda;Real Acumulado;Real rojetado;Tendência;Clientes Abordados;Vendas Fechadas;Taxa de Conversão
01 - dom;304;64.52;239.48;304;64.52;304;10;2;20
02 - seg;56.15;64.52;-8.37;360.15;129.03;360.15;3;2;66.67
03 - ter;12;64.52;-52.52;372.15;193.55;372.15;20;20;100
04 - qua;90.16;64.52;25.65;462.31;258.06;462.31;5;3;60
05 - qui;50.09;64.52;-14.42;512.41;322.58;512.41;6;3;50
06 - sex;123.97;64.52;59.45;636.38;387.10;636.38;7;4;57.14
07 - sáb;184.21;64.52;119.69;820.59;451.61;820.59;9;7;77.78
08 - dom;190;64.52;125.48;1010.59;516.13;1010.59;7;5;71.43
09 - seg;83.09;64.52;18.57;1093.68;580.65;1093.68;5;2;40
10 - ter;61.86;64.52;-2.66;1155.53;645.16;1155.53;3;1;33.33
11 - qua;59.57;64.52;-4.95;1215.10;709.68;1215.10;13;2;15.38
12 - qui;73.86;64.52;9.34;1288.95;774.19;1288.95;25;14;56
13 - sex;64.63;64.52;0.11;1353.58;838.71;1353.58;8;5;62.50
14 - sáb;46.16;64.52;-18.36;1399.74;903.23;1399.74;6;3;50
15 - dom;83.09;64.52;18.57;1482.83;967.74;1482.83;4;3;75
16 - seg;73.86;64.52;9.34;1556.69;1032.26;1556.69;3;2;66.67
17 - ter;27.70;64.52;-36.82;1584.38;1096.77;1584.38;7;3;42.86
18 - qua;84.64;64.52;20.13;1669.03;1161.29;1669.03;8;5;62.50
19 - qui;44.92;64.52;-19.60;1713.95;1225.81;1713.95;9;6;66.67
20 - sex;241;64.52;176.48;1954.95;1290.32;1954.95;7;4;57.14
21 - sáb;19;64.52;-45.52;1973.95;1354.84;1973.95;6;5;83.33
22 - dom;79;64.52;14.48;2052.95;1419.35;2052.95;8;3;37.50
23 - seg;101.07;64.52;36.55;2154.02;1483.87;2154.02;7;4;57.14
