Data;Venda Real;Venda Projetada;Diferença de Venda;Real Acumulado;Real rojetado;Tendência;Clientes Abordados;Vendas Fechadas;Taxa de Conversão
01 - dom;78.26;64.52;13.75;78.26;64.52;78.26;3;4;133.33
02 - seg;39.13;64.52;-25.38;117.40;129.03;117.40;5;5;100
03 - ter;48.92;64.52;-15.60;166.31;193.55;166.31;6;4;66.67
04 - qua;58.70;64.52;-5.82;225.01;258.06;225.01;2;2;100
05 - qui;68.48;64.52;3.96;293.49;322.58;293.49;8;5;62.50
06 - sex;117.40;64.52;52.88;410.89;387.10;410.89;5;6;120
07 - sáb;185.88;64.52;121.36;596.76;451.61;596.76;4;3;75
08 - dom;9.78;64.52;-54.73;606.55;516.13;606.55;3;3;100
09 - seg;14.67;64.52;-49.84;621.22;580.65;621.22;2;2;100
10 - ter;58.70;64.52;-5.82;679.92;645.16;679.92;7;6;85.71
11 - qua;39.13;64.52;-25.38;719.05;709.68;719.05;1;1;100
12 - qui;34.24;64.52;-30.28;753.29;774.19;753.29;4;4;100
13 - sex;78.26;64.52;13.75;831.56;838.71;831.56;10;2;20
14 - sáb;48.92;64.52;-15.60;880.47;903.23;880.47;1;1;100
15 - dom;21.32;64.52;-43.20;901.79;967.74;901.79;1;1;100
16 - seg;19.57;64.52;-44.95;921.36;1032.26;921.36;2;1;50
17 - ter;29.35;64.52;-35.17;950.71;1096.77;950.71;2;2;100
18 - qua;78.26;64.52;13.75;1028.97;1161.29;1028.97;3;3;100
19 - qui;88.05;64.52;23.53;1117.02;1225.81;1117.02;6;5;83.33
20 - sex;146.75;64.52;82.23;1263.76;1290.32;1263.76;2;4;200
21 - sáb;195.66;64.52;131.14;1459.42;1354.84;1459.42;2;1;50
22 - dom;48.92;64.52;-15.60;1508.34;1419.35;1508.34;8;7;87.50
23 - seg;88.05;64.52;23.53;1596.38;1483.87;1596.38;1;2;200
